s0001|孝景皇帝子凡十三人為王，而母五人，同母者為宗親。
s0002|栗姬子曰榮、德、閼于。
s0003|程姬子曰餘、非、端。
s0004|賈夫人子曰彭祖、勝。
s0005|唐姬子曰發。
s0006|王夫人兒姁子曰越、寄、乘、舜。
s0007|河閒獻王德，以孝景帝前二年用皇子為河閒王。
s0008|好儒學，被服造次必於儒者。
s0009|山東諸儒多從之游。
s0010|二十六年卒，子共王不害立。
s0011|四年卒，子剛王基代立。
s0012|十二年卒，子頃王授代立。
s0013|臨江哀王閼于，以孝景帝前二年用皇子為臨江王。
s0014|三年卒，無後，國除為郡。
s0015|臨江閔王榮，以孝景前四年為皇太子，四歲廢，用故太子為臨江王。
s0016|四年，坐侵廟壖垣為宮，上徵榮。
s0017|榮行，祖於江陵北門。
s0018|既已上車，軸折車廢。
s0019|江陵父老流涕竊言曰：「吾王不反矣！」
s0020|榮至，詣中尉府簿。
s0021|中尉郅都責訊王，王恐，自殺。
s0022|葬藍田。
s0023|燕數萬銜土置冢上，百姓憐之。
s0024|榮最長，死無後，國除，地入于漢，為南郡。
s0025|右三國本王皆栗姬之子也。
s0026|魯共王餘，以孝景前二年用皇子為淮陽王。
s0027|二年，吳楚反破後，以孝景前三年徙為魯王。
s0028|好治宮室苑囿狗馬。
s0029|季年好音，不喜辭辯。
s0030|為人吃。
s0031|二十六年卒，子光代為王。
s0032|初好音輿馬；
s0033|晚節嗇，惟恐不足於財。
s0034|江都易王非，以孝景前二年用皇子為汝南王。
s0035|吳楚反時，非年十五，有材力，上書願擊吳。
s0036|景帝賜非將軍印，擊吳。
s0037|吳已破，二歲，徙為江都王，治吳故國，以軍功賜天子旌旗。
s0038|元光五年，匈奴大入漢為賊，非上書願擊匈奴，上不許。
s0039|非好氣力，治宮觀，招四方豪桀，驕奢甚。
s0040|立二十六年卒，子建立為王。
s0041|七年自殺。
s0042|淮南、衡山謀反時，建頗聞其謀。
s0043|自以為國近淮南，恐一日發，為所并，即陰作兵器，而時佩其父所賜將軍印，載天子旗以出。
s0044|易王死未葬，建有所說易王寵美人淖姬，夜使人迎與姦服舍中。
s0045|及淮南事發，治黨與頗及江都王建。
s0046|建恐，因使人多持金錢，事絕其獄。
s0047|而又信巫祝，使人禱祠妄言。
