s0001|白起者，郿人也。
s0002|善用兵，事秦昭王。
s0003|昭王十三年，而白起為左庶長，將而擊韓之新城。
s0004|是歲，穰侯相秦，舉任鄙以為漢中守。
s0005|其明年，白起為左更，攻韓、魏於伊闕，斬首二十四萬，又虜其將公孫喜，拔五城。
s0006|起遷為國尉。
s0007|涉河取韓安邑以東，到乾河。
s0008|明年，白起為大良造。
s0009|攻魏，拔之，取城小大六十一。
s0010|明年，起與客卿錯攻垣城，拔之。
s0011|後五年，白起攻趙，拔光狼城。
s0012|後七年，白起攻楚，拔鄢、鄧五城。
s0013|其明年，攻楚，拔郢，燒夷陵，遂東至竟陵。
s0014|楚王亡去郢，東走徙陳。
s0015|秦以郢為南郡。
s0016|白起遷為武安君。
s0017|武安君因取楚，定巫、黔中郡。
s0018|昭王三十四年，白起攻魏，拔華陽，走芒卯，而虜三晉將，斬首十三萬。
s0019|與趙將賈偃戰，沈其卒二萬人於河中。
s0020|昭王四十三年，白起攻韓陘城，拔五城，斬首五萬。
s0021|四十四年，白起攻南陽太行道，絕之。
s0022|四十五年，伐韓之野王。
s0023|野王降秦，上黨道絕。
s0024|其守馮亭與民謀曰：「鄭道已絕，韓必不可得為民。
s0025|秦兵日進，韓不能應，不如以上黨歸趙。
s0026|趙若受我，秦怒，必攻趙。
s0027|趙被兵，必親韓。
s0028|韓趙為一，則可以當秦。」
s0029|因使人報趙。
s0030|趙孝成王與平陽君、平原君計之。
s0031|平陽君曰：「不如勿受。
s0032|受之，禍大於所得。」
s0033|平原君曰：「無故得一郡，受之便。」
s0034|趙受之，因封馮亭為華陽君。
s0035|四十六年，秦攻韓緱氏、藺，拔之。
s0036|四十七年，秦使左庶長王龁攻韓，取上黨。
s0037|上黨民走趙。
s0038|趙軍長平，以按據上黨民。
s0039|四月，龁因攻趙。
s0040|趙使廉頗將。
s0041|趙軍士卒犯秦斥兵，秦斥兵斬趙裨將茄。
s0042|六月，陷趙軍，取二鄣四尉。
s0043|七月，趙軍筑壘壁而守之。
s0044|秦又攻其壘，取二尉，敗其陣，奪西壘壁。
s0045|廉頗堅壁以待秦，秦數挑戰，趙兵不出。
s0046|趙王數以為讓。
s0047|而秦相應侯又使人行千金於趙為反閒，曰：「秦之所惡，獨畏馬服子趙括將耳，廉頗易與，且降矣。」
s0048|趙王既怒廉頗軍多失亡，軍數敗，又反堅壁不敢戰，而又聞秦反閒之言，因使趙括代廉頗將以擊秦。
s0049|秦聞馬服子將，乃陰使武安君白起為上將軍。
s0050|而王龁為尉裨將，令軍中有敢泄武安君將者斬。
s0051|趙括至，則出兵擊秦軍。
s0052|秦軍詳敗而走，張二奇兵以劫之。
s0053|趙軍逐勝，追造秦壁。
s0054|壁堅拒不得入，而秦奇兵二萬五千人絕趙軍後，又一軍五千騎絕趙壁閒，趙軍分而為二，糧道絕。
s0055|而秦出輕兵擊之。
s0056|趙戰不利，因筑壁堅守，以待救至。
s0057|秦王聞趙食道絕，王自之河內，賜民爵各一級，發年十五以上悉詣長平，遮絕趙救及糧食。
s0058|至九月，趙卒不得食四十六日，皆內陰相殺食。
s0059|來攻秦壘，欲出。
s0060|為四隊，四五復之，不能出。
s0061|其將軍趙括出銳卒自搏戰，秦軍射殺趙括。
s0062|括軍敗，卒四十萬人降武安君。
s0063|武安君計曰：「前秦已拔上黨，上黨民不樂為秦而歸趙。
s0064|趙卒反覆。
s0065|非盡殺之，恐為亂。」
s0066|乃挾詐而盡阬殺之，遺其小者二百四十人歸趙。
s0067|前後斬首虜四十五萬人。
s0068|趙人大震。
s0069|四十八年十月，秦復定上黨郡。
s0070|秦分軍為二：王龁攻皮牢，拔之；
s0071|司馬梗定太原。
s0072|韓、趙恐，使蘇代厚幣說秦相應侯曰：「武安君禽馬服子乎？」
s0073|曰：「然。」
s0074|又曰：「即圍邯鄲乎？」
s0075|曰：「然。」
s0076|「趙亡則秦王王矣，武安君為三公。
s0077|武安君所為秦戰勝攻取者七十餘城，南定鄢、郢、漢中，北禽趙括之軍，雖周、召、呂望之功不益於此矣。
s0078|今趙亡，秦王王，則武安君必為三公，君能為之下乎？
s0079|雖無欲為之下，固不得已矣。
s0080|秦嘗攻韓，圍邢丘，困上黨，上黨之民皆反為趙，天下不樂為秦民之日久矣。
s0081|今亡趙，北地入燕，東地入齊，南地入韓、魏，則君之所得民亡幾何人。
s0082|故不如因而割之，無以為武安君功也。」
s0083|於是應侯言於秦王曰：「秦兵勞，請許韓、趙之割地以和，且休士卒。」
s0084|王聽之，割韓垣雍、趙六城以和。
s0085|正月，皆罷兵。
s0086|武安君聞之，由是與應侯有隙。
