s0001|魏公子無忌者，魏昭王子少子而魏安釐王異母弟也。
s0002|昭王薨，安釐王即位，封公子為信陵君。
s0003|是時范睢亡魏相秦，以怨魏齊故，秦兵圍大梁，破魏華陽下軍，走芒卯。
s0004|魏王及公子患之。
s0005|公子為人仁而下士，士無賢不肖皆謙而禮交之，不敢以其富貴驕士。
s0006|士以此方數千里爭往歸之，致食客三千人。
s0007|當是時，諸侯以公子賢，多客，不敢加兵謀魏十餘年。
s0008|公子與魏王博，而北境傳舉烽，言「趙寇至，且入界」。
s0009|魏王釋博，欲召大臣謀。
s0010|公子止王曰：「趙王田獵耳，非為寇也。」
s0011|復博如故。
s0012|王恐，心不在博。
s0013|居頃，復從北方來傳言曰：「趙王獵耳，非為寇也。」
s0014|魏王大驚，曰：「公子何以知之？」
s0015|公子曰：「臣之客有能深得趙王陰事者，趙王所為，客輒以報臣，臣以此知之。」
s0016|是後魏王畏公子之賢能，不敢任公子以國政。
s0017|魏有隱士曰侯嬴，年七十，家貧，為大梁夷門監者。
s0018|公子聞之，往請，欲厚遺之。
s0019|不肯受，曰：「臣修身絜行數十年，終不以監門困故而受公子財。」
s0020|公子於是乃置酒大會賓客。
s0021|坐定，公子從車騎，虛左，自迎夷門侯生。
s0022|侯生攝敝衣冠，直上載公子上坐，不讓，欲以觀公子。
s0023|公子執轡愈恭。
s0024|侯生又謂公子曰：「臣有客在市屠中，願枉車騎過之。」
s0025|公子引車入市，侯生下見其客朱亥，俾倪故久立，與其客語，微察公子。
s0026|公子顏色愈和。
s0027|當是時，魏將相宗室賓客滿堂，待公子舉酒。
s0028|市人皆觀公子執轡。
s0029|從騎皆竊罵侯生。
s0030|侯生視公子色終不變，乃謝客就車。
s0031|至家，公子引侯生坐上坐，遍贊賓客，賓客皆驚。
s0032|酒酣，公子起，為壽侯生前。
s0033|侯生因謂公子曰：「今日嬴之為公子亦足矣。
s0034|嬴乃夷門抱關者也，而公子親枉車騎，自迎嬴於眾人廣坐之中，不宜有所過，今公子故過之。
s0035|然嬴欲就公子之名，故久立公子車騎市中，過客以觀公子，公子愈恭。
s0036|市人皆以嬴為小人，而以公子為長者能下士也。」
s0037|於是罷酒，侯生遂為上客。
s0038|侯生謂公子曰：「臣所過屠者朱亥，此子賢者，世莫能知，故隱屠閒耳。」
s0039|公子往數請之，朱亥故不復謝，公子怪之。
