Chapters with at least 1 punctuation/delimiter note(s): 208

book	chapter	notes	sentences	file
hanshu	018	1608	485	data/hanshu/018.json
hanshu	079	287	254	data/hanshu/079.json
hanshu	078	258	180	data/hanshu/078.json
shiji	014	242	121	data/shiji/014.json
shiji	039	241	120	data/shiji/039.json
shiji	040	212	107	data/shiji/040.json
hanshu	043	208	96	data/hanshu/043.json
shiji	043	199	100	data/shiji/043.json
shiji	007	180	93	data/shiji/007.json
shiji	021	165	160	data/shiji/021.json
hanshu	066	162	103	data/hanshu/066.json
hanshu	045	161	81	data/hanshu/045.json
shiji	047	151	132	data/shiji/047.json
hanshu	044	150	83	data/hanshu/044.json
shiji	092	146	81	data/shiji/092.json
shiji	006	141	88	data/shiji/006.json
hanshu	065	137	75	data/hanshu/065.json
shiji	032	136	66	data/shiji/032.json
shiji	079	133	67	data/shiji/079.json
shiji	028	132	67	data/shiji/028.json
hanshu	072	128	77	data/hanshu/072.json
hanshu	076	128	69	data/hanshu/076.json
hanshu	048	123	71	data/hanshu/048.json
hanshu	054	118	83	data/hanshu/054.json
shiji	067	113	100	data/shiji/067.json
hanshu	023	109	73	data/hanshu/023.json
hanshu	041	108	45	data/hanshu/041.json
hanshu	086	108	54	data/hanshu/086.json
hanshu	081	106	57	data/hanshu/081.json
shiji	004	104	53	data/shiji/004.json
shiji	042	98	49	data/shiji/042.json
shiji	070	96	52	data/shiji/070.json
shiji	024	93	47	data/shiji/024.json
shiji	044	91	46	data/shiji/044.json
shiji	087	91	51	data/shiji/087.json
shiji	118	91	47	data/shiji/118.json
hanshu	021	90	59	data/hanshu/021.json
shiji	001	89	48	data/shiji/001.json
shiji	076	88	46	data/shiji/076.json
houhanshu	002	87	36	data/houhanshu/002.json
shiji	018	87	43	data/shiji/018.json
shiji	081	85	42	data/shiji/081.json
hanshu	085	84	39	data/hanshu/085.json
shiji	086	84	57	data/shiji/086.json
hanshu	062	83	73	data/hanshu/062.json
shiji	055	83	58	data/shiji/055.json
hanshu	025	82	41	data/hanshu/025.json
shiji	065	81	41	data/shiji/065.json
hanshu	037	80	66	data/hanshu/037.json
hanshu	084	80	39	data/hanshu/084.json
hanshu	028	78	39	data/hanshu/028.json
shiji	041	78	39	data/shiji/041.json
hanshu	073	77	44	data/hanshu/073.json
shiji	005	75	37	data/shiji/005.json
shiji	046	75	65	data/shiji/046.json
hanshu	036	74	53	data/hanshu/036.json
hanshu	074	74	34	data/hanshu/074.json
shiji	075	72	37	data/shiji/075.json
shiji	101	69	34	data/shiji/101.json
hanshu	064	68	40	data/hanshu/064.json
shiji	097	67	34	data/shiji/097.json
shiji	105	67	40	data/shiji/105.json
hanshu	039	65	51	data/hanshu/039.json
hanshu	049	65	51	data/hanshu/049.json
hanshu	075	65	30	data/hanshu/075.json
shiji	117	65	33	data/shiji/117.json
shiji	008	63	54	data/shiji/008.json
shiji	089	62	32	data/shiji/089.json
shiji	099	62	30	data/shiji/099.json
hanshu	057	58	51	data/hanshu/057.json
shiji	038	57	29	data/shiji/038.json
hanshu	067	56	41	data/hanshu/067.json
hanshu	027	55	29	data/hanshu/027.json
hanshu	040	55	39	data/hanshu/040.json
hanshu	056	55	31	data/hanshu/056.json
shiji	073	55	28	data/shiji/073.json
shiji	069	54	29	data/shiji/069.json
shiji	031	53	27	data/shiji/031.json
shiji	078	52	23	data/shiji/078.json
hanshu	055	51	29	data/hanshu/055.json
shiji	052	51	25	data/shiji/052.json
hanshu	032	50	25	data/hanshu/032.json
hanshu	058	50	44	data/hanshu/058.json
hanshu	088	50	38	data/hanshu/088.json
shiji	010	50	27	data/shiji/010.json
shiji	037	50	25	data/shiji/037.json
shiji	033	49	31	data/shiji/033.json
shiji	009	46	25	data/shiji/009.json
shiji	096	46	23	data/shiji/096.json
shiji	100	46	25	data/shiji/100.json
shiji	122	46	39	data/shiji/122.json
hanshu	077	45	29	data/hanshu/077.json
shiji	027	44	27	data/shiji/027.json
shiji	128	44	24	data/shiji/128.json
hanshu	042	42	20	data/hanshu/042.json
hanshu	060	42	31	data/hanshu/060.json
hanshu	080	42	25	data/hanshu/080.json
hanshu	083	42	37	data/hanshu/083.json
shiji	071	42	41	data/shiji/071.json
shiji	093	42	20	data/shiji/093.json
shiji	112	42	21	data/shiji/112.json
shiji	048	41	22	data/shiji/048.json
hanshu	026	39	24	data/hanshu/026.json
shiji	030	39	20	data/shiji/030.json
shiji	091	38	36	data/shiji/091.json
hanshu	063	37	33	data/hanshu/063.json
shiji	066	37	28	data/shiji/066.json
shiji	015	36	27	data/shiji/015.json
shiji	053	35	19	data/shiji/053.json
shiji	060	35	28	data/shiji/060.json
shiji	057	34	30	data/shiji/057.json
shiji	077	34	17	data/shiji/077.json
shiji	084	34	18	data/shiji/084.json
hanshu	071	33	19	data/hanshu/071.json
hanshu	024	32	14	data/hanshu/024.json
hanshu	053	32	24	data/hanshu/053.json
shiji	068	32	25	data/shiji/068.json
shiji	123	32	23	data/shiji/123.json
shiji	129	32	15	data/shiji/129.json
hanshu	070	31	19	data/hanshu/070.json
shiji	083	30	15	data/shiji/083.json
shiji	056	29	26	data/shiji/056.json
shiji	130	29	15	data/shiji/130.json
shiji	019	28	14	data/shiji/019.json
shiji	045	27	14	data/shiji/045.json
shiji	058	27	25	data/shiji/058.json
shiji	102	27	22	data/shiji/102.json
hanshu	050	26	17	data/hanshu/050.json
hanshu	082	26	16	data/hanshu/082.json
shiji	126	26	18	data/shiji/126.json
shiji	025	25	13	data/shiji/025.json
hanshu	022	24	12	data/hanshu/022.json
hanshu	052	24	17	data/hanshu/052.json
shiji	063	24	12	data/shiji/063.json
shiji	120	24	12	data/shiji/120.json
hanshu	005	23	12	data/hanshu/005.json
shiji	020	22	11	data/shiji/020.json
shiji	064	22	11	data/shiji/064.json
shiji	103	22	21	data/shiji/103.json
hanshu	059	21	17	data/hanshu/059.json
hanshu	068	21	14	data/hanshu/068.json
shiji	061	21	11	data/shiji/061.json
hanshu	015	20	9	data/hanshu/015.json
hanshu	029	20	10	data/hanshu/029.json
hanshu	034	20	10	data/hanshu/034.json
shiji	012	20	13	data/shiji/012.json
shiji	095	20	10	data/shiji/095.json
hanshu	061	19	16	data/hanshu/061.json
shiji	036	19	10	data/shiji/036.json
hanshu	004	17	9	data/hanshu/004.json
shiji	049	17	13	data/shiji/049.json
hanshu	007	16	9	data/hanshu/007.json
hanshu	035	16	8	data/hanshu/035.json
hanshu	087	16	16	data/hanshu/087.json
shiji	094	16	9	data/shiji/094.json
shiji	119	16	8	data/shiji/119.json
shiji	082	15	14	data/shiji/082.json
hanshu	030	14	7	data/hanshu/030.json
hanshu	031	14	7	data/hanshu/031.json
hanshu	033	14	7	data/hanshu/033.json
shiji	115	14	6	data/shiji/115.json
shiji	054	12	11	data/shiji/054.json
hanshu	012	11	8	data/hanshu/012.json
hanshu	047	11	9	data/hanshu/047.json
shiji	090	11	9	data/shiji/090.json
shiji	124	11	8	data/shiji/124.json
hanshu	069	10	9	data/hanshu/069.json
shiji	011	10	5	data/shiji/011.json
shiji	062	10	5	data/shiji/062.json
shiji	114	10	5	data/shiji/114.json
hanshu	016	9	7	data/hanshu/016.json
hanshu	009	8	5	data/hanshu/009.json
hanshu	038	8	8	data/hanshu/038.json
hanshu	051	8	7	data/hanshu/051.json
houhanshu	001	8	4	data/houhanshu/001.json
shiji	034	8	4	data/shiji/034.json
shiji	035	8	4	data/shiji/035.json
shiji	051	8	4	data/shiji/051.json
shiji	080	8	4	data/shiji/080.json
shiji	110	8	4	data/shiji/110.json
shiji	127	8	8	data/shiji/127.json
hanshu	008	7	4	data/hanshu/008.json
hanshu	017	7	3	data/hanshu/017.json
shiji	013	7	5	data/shiji/013.json
hanshu	011	6	3	data/hanshu/011.json
hanshu	046	6	6	data/hanshu/046.json
shiji	016	6	3	data/shiji/016.json
shiji	023	6	6	data/shiji/023.json
shiji	029	6	3	data/shiji/029.json
shiji	050	6	4	data/shiji/050.json
shiji	059	6	4	data/shiji/059.json
shiji	088	6	5	data/shiji/088.json
shiji	116	6	3	data/shiji/116.json
shiji	125	6	6	data/shiji/125.json
hanshu	006	5	3	data/hanshu/006.json
hanshu	010	5	3	data/hanshu/010.json
shiji	026	5	4	data/shiji/026.json
shiji	074	5	3	data/shiji/074.json
shiji	085	5	4	data/shiji/085.json
shiji	106	5	3	data/shiji/106.json
shiji	022	4	4	data/shiji/022.json
shiji	072	4	2	data/shiji/072.json
shiji	109	3	2	data/shiji/109.json
shiji	121	3	2	data/shiji/121.json
hanshu	019	2	2	data/hanshu/019.json
shiji	002	2	1	data/shiji/002.json
shiji	098	2	1	data/shiji/098.json
hanshu	020	1	1	data/hanshu/020.json
